2018-10-25 12:24:35,648 [Worker-42: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:24:35,650 [Worker-42: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/italomp/prova leda 2/provaLeda2/src/test/resources
2018-10-25 12:25:00,591 [Worker-44: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:25:00,594 [Worker-44: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/italomp/prova leda 2/provaLeda2/src/main/resources
2018-10-25 12:25:00,596 [Worker-44: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:25:00,598 [Worker-44: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/italomp/prova leda 2/provaLeda2/src/test/resources
2018-10-25 12:26:40,431 [Worker-45: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:26:40,435 [Worker-45: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/italomp/prova leda 2/provaLeda2/src/main/resources
2018-10-25 12:26:40,437 [Worker-45: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:26:40,440 [Worker-45: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/italomp/prova leda 2/provaLeda2/src/test/resources
2018-10-25 12:27:06,750 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2018-10-25 12:27:06,883 [Worker-41: Launching provaLeda2] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/italomp/prova leda 2/provaLeda2
2018-10-25 12:27:06,884 [Worker-41: Launching provaLeda2] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B -Dmaven.test.skip=true -DskipTests install
